date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,year,day_of_week
2016-08-25 11:00:00,State Fair,293.97,0.0,0.0,1,Clear,sky is clear,5106,2016,3
2016-08-25 12:00:00,State Fair,294.34,0.0,0.0,1,Clear,sky is clear,4866,2016,3
2016-08-25 13:00:00,State Fair,294.59,0.0,0.0,1,Clear,sky is clear,4808,2016,3
2016-08-25 14:00:00,State Fair,294.9,0.0,0.0,40,Clouds,scattered clouds,5157,2016,3
2016-08-25 15:00:00,State Fair,295.21,0.0,0.0,75,Clouds,broken clouds,5431,2016,3
2016-08-25 16:00:00,State Fair,295.15,0.0,0.0,75,Clouds,broken clouds,5933,2016,3
2016-08-25 17:00:00,State Fair,294.79,0.0,0.0,75,Clouds,broken clouds,5621,2016,3
2016-08-25 18:00:00,State Fair,294.17,0.0,0.0,1,Clear,sky is clear,4274,2016,3
2016-08-25 19:00:00,State Fair,293.27,0.0,0.0,75,Clouds,broken clouds,3180,2016,3
2016-08-25 20:00:00,State Fair,291.09,0.0,0.0,40,Clouds,scattered clouds,3022,2016,3
2016-08-25 21:00:00,State Fair,290.36,0.0,0.0,20,Clouds,few clouds,2792,2016,3
2016-08-25 22:00:00,State Fair,289.18,0.0,0.0,1,Clear,sky is clear,1921,2016,3
2016-08-25 23:00:00,State Fair,288.22,0.0,0.0,1,Clear,sky is clear,1252,2016,3
2017-08-24 00:00:00,State Fair,289.69,0.0,0.0,90,Rain,light rain,657,2017,3
2017-08-24 01:00:00,State Fair,289.28,0.0,0.0,90,Rain,moderate rain,472,2017,3
2017-08-24 02:00:00,State Fair,288.95,0.0,0.0,90,Rain,moderate rain,278,2017,3
2017-08-24 03:00:00,State Fair,288.42,0.0,0.0,90,Rain,moderate rain,342,2017,3
2017-08-24 04:00:00,State Fair,288.02,0.0,0.0,75,Drizzle,drizzle,944,2017,3
2017-08-24 05:00:00,State Fair,288.01,0.0,0.0,75,Rain,moderate rain,3165,2017,3
2017-08-24 05:00:00,State Fair,288.01,0.0,0.0,75,Drizzle,light intensity drizzle,3165,2017,3
2017-08-24 06:00:00,State Fair,287.51,0.0,0.0,75,Clouds,broken clouds,5801,2017,3
2017-08-24 07:00:00,State Fair,286.51,0.0,0.0,40,Clouds,scattered clouds,6821,2017,3
2017-08-24 08:00:00,State Fair,286.88,0.0,0.0,75,Clouds,broken clouds,6266,2017,3
2017-08-24 09:00:00,State Fair,288.22,0.0,0.0,40,Clouds,scattered clouds,5825,2017,3
2017-08-24 10:00:00,State Fair,289.93,0.0,0.0,20,Clouds,few clouds,4708,2017,3
2017-08-24 11:00:00,State Fair,291.07,0.0,0.0,5,Clear,sky is clear,4909,2017,3
2017-08-24 12:00:00,State Fair,292.48,0.0,0.0,5,Clear,sky is clear,5148,2017,3
2017-08-24 13:00:00,State Fair,293.43,0.0,0.0,20,Clouds,few clouds,5186,2017,3
2017-08-24 14:00:00,State Fair,294.36,0.0,0.0,5,Clear,sky is clear,5369,2017,3
2017-08-24 15:00:00,State Fair,295.08,0.0,0.0,1,Clear,sky is clear,5979,2017,3
2017-08-24 16:00:00,State Fair,295.21,0.0,0.0,40,Clouds,scattered clouds,6724,2017,3
2017-08-24 17:00:00,State Fair,295.28,0.0,0.0,40,Clouds,scattered clouds,6124,2017,3
2017-08-24 18:00:00,State Fair,294.79,0.0,0.0,75,Clouds,broken clouds,4791,2017,3
2017-08-24 19:00:00,State Fair,294.02,0.0,0.0,1,Clear,sky is clear,3728,2017,3
2017-08-24 20:00:00,State Fair,292.68,0.0,0.0,90,Clouds,overcast clouds,3362,2017,3
2017-08-24 21:00:00,State Fair,291.42,0.0,0.0,90,Clouds,overcast clouds,3168,2017,3
2017-08-24 22:00:00,State Fair,291.23,0.0,0.0,75,Clouds,broken clouds,2227,2017,3
2017-08-24 23:00:00,State Fair,290.09,0.0,0.0,75,Clouds,broken clouds,1423,2017,3
2018-08-23 00:00:00,State Fair,289.02,0.0,0.0,1,Clear,sky is clear,596,2018,3
2018-08-23 01:00:00,State Fair,288.66,0.0,0.0,1,Clear,sky is clear,402,2018,3
2018-08-23 03:00:00,State Fair,288.31,0.0,0.0,1,Clear,sky is clear,381,2018,3
2018-08-23 04:00:00,State Fair,287.54,0.0,0.0,1,Clear,sky is clear,976,2018,3
2018-08-23 05:00:00,State Fair,287.37,0.0,0.0,1,Clear,sky is clear,3163,2018,3
2018-08-23 06:00:00,State Fair,286.17,0.0,0.0,1,Clear,sky is clear,5860,2018,3
2018-08-23 07:00:00,State Fair,285.97,0.0,0.0,5,Clear,sky is clear,6815,2018,3
2018-08-23 08:00:00,State Fair,287.65,0.0,0.0,1,Mist,mist,6162,2018,3
2018-08-23 09:00:00,State Fair,289.95,0.0,0.0,1,Clear,sky is clear,5583,2018,3
2018-08-23 10:00:00,State Fair,292.91,0.0,0.0,1,Clear,sky is clear,4837,2018,3
2018-08-23 11:00:00,State Fair,295.48,0.0,0.0,5,Clear,sky is clear,5015,2018,3
2018-08-23 12:00:00,State Fair,296.73,0.0,0.0,1,Clear,sky is clear,5136,2018,3
2018-08-23 13:00:00,State Fair,297.9,0.0,0.0,20,Clouds,few clouds,5051,2018,3
2018-08-23 14:00:00,State Fair,298.58,0.0,0.0,75,Clouds,broken clouds,5312,2018,3
2018-08-23 15:00:00,State Fair,298.69,0.0,0.0,75,Clouds,broken clouds,5848,2018,3
2018-08-23 16:00:00,State Fair,298.97,0.0,0.0,75,Clouds,broken clouds,6586,2018,3
2018-08-23 17:00:00,State Fair,298.35,0.0,0.0,90,Clouds,overcast clouds,5780,2018,3
2018-08-23 18:00:00,State Fair,297.92,0.0,0.0,90,Clouds,overcast clouds,4750,2018,3
2018-08-23 19:00:00,State Fair,297.25,0.0,0.0,75,Clouds,broken clouds,3519,2018,3
2018-08-23 20:00:00,State Fair,296.61,0.0,0.0,75,Clouds,broken clouds,2996,2018,3
2018-08-23 21:00:00,State Fair,295.71,0.0,0.0,40,Clouds,scattered clouds,2717,2018,3
2018-08-23 22:00:00,State Fair,295.33,0.0,0.0,40,Clouds,scattered clouds,2107,2018,3
2018-08-23 23:00:00,State Fair,295.51,0.0,0.0,90,Clouds,overcast clouds,1904,2018,3
